Step,algorithm,seed,actor/entropy_loss
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,42,0.6155269145965576
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,43,0.6115959882736206
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,44,0.5882645845413208
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,42,0.6039465069770813
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,43,0.6112005114555359
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,44,0.6008123755455017
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,42,0.6155269145965576
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,43,0.6115959882736206
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,44,0.5882645845413208
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,42,0.6039465069770813
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,43,0.6112005114555359
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,44,0.6008123755455017
1,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,42,0.6039465069770813
1,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,43,0.6112005114555359
1,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,44,0.6008123755455017
1,qwen2.5-1.5b-2gpu-GRPO,42,0.6117269992828369
1,qwen2.5-1.5b-2gpu-GRPO,43,0.6012887954711914
1,qwen2.5-1.5b-2gpu-GRPO,44,0.5916377902030945
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,42,0.6039465069770813
1,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,43,0.6112005114555359
