表1，实验结果总表,,,,,,,,,,,,,,,,,,,,,,,,
,,AIME24,,AIME25,,AMC23,,MATH500,,Minerva,,Olympiad,,M2M(1k),,M2M(4k),,Countdown,,M2M(1k16n),,AVG,AVGP,
,,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,,,
,,avg.32,p@128,avg.32,p@128,avg.32,p@128,avg.32,p@128,avg.32,p@128,avg.32,p@128,avg.128,p@128,avg.128,p@128,avg.,p@k,avg.,p@k,,,
均值记录,base model,0.000 ,0.000 ,0.000 ,0.000 ,0.033 ,0.048 ,0.033 ,0.042 ,0.012 ,0.261 ,0.003 ,0.083 ,1.2,20.51,13.45,54.7,,,1.2,20.51,1.841 ,9.456 ,
,PPO,0.051 ,0.433 ,0.024 ,0.267 ,0.319 ,0.863 ,0.626 ,0.947 ,0.181 ,0.650 ,0.230 ,0.660 ,13.05,56.84,17.17,62.18,64.97,,13.05,56.84,10.736 ,15.355 ,PPO默认值得是rollout.n=1
,GRPO ,0.066 ,0.478 ,0.047 ,0.389 ,0.402 ,0.884 ,0.687 ,0.951 ,0.219 ,0.664 ,0.279 ,0.667 ,15.09,59.83,21.2,66.88,70.3,,15.88,60.83,12.032 ,16.343 ,
指v1,DistRL(v1),0.052 ,0.411 ,0.027 ,0.267 ,0.310 ,0.851 ,0.629 ,0.950 ,0.178 ,0.645 ,0.234 ,0.664 ,,,,,,,,,0.238 ,0.631 ,
指v2,DistRL(0),0.075 ,0.467 ,0.055 ,0.378 ,0.462 ,0.884 ,0.700 ,0.951 ,0.219 ,0.615 ,0.286 ,0.655 ,14.86,62.25,20.43,66.88,68.94,,15.79,61.68,11.781 ,16.635 ,
指v3,DistRL(SR),0.081 ,0.533 ,0.060 ,0.356 ,0.437 ,0.904 ,0.710 ,0.945 ,0.225 ,0.624 ,0.292 ,0.651 ,14.93,59.69,20.8,69.23,69.85,,16.07,60.97,11.932 ,16.617 ,最高值
,DistRL(reweight),0.095 ,0.544 ,0.074 ,0.378 ,0.448 ,0.892 ,0.726 ,0.943 ,0.228 ,0.577 ,0.315 ,0.629 ,14.87,60.11,21.29,67.09,69.8,,15.84,60.68,11.983 ,16.395 ,次优值
,,,,,,,,,,,,,,,,,,,,15.88,60.83,,,
